num_pickups,num_passengers,yr,mnth,d,hr
482,782,2014,2,10,18
549,911,2014,2,10,19
583,1085,2014,2,10,20
616,1022,2014,2,10,21
661,1146,2014,2,10,22
405,690,2014,2,10,23
205,375,2014,2,11,0
10,20,2014,2,11,1
6,7,2014,2,11,2
2,7,2014,2,11,3
10,19,2014,2,11,4
23,42,2014,2,11,5
63,125,2014,2,11,6
252,393,2014,2,11,7
385,572,2014,2,11,8
497,795,2014,2,11,9
593,981,2014,2,11,10
404,654,2014,2,11,11
470,744,2014,2,11,12
310,454,2014,2,11,13
371,626,2014,2,11,14
457,727,2014,2,11,15
429,708,2014,2,11,16
452,753,2014,2,11,17
486,845,2014,2,11,18
456,772,2014,2,11,19
699,1183,2014,2,11,20
647,1128,2014,2,11,21
488,843,2014,2,11,22
351,579,2014,2,11,23
59,120,2014,2,12,0
10,23,2014,2,12,1
8,13,2014,2,12,2
12,16,2014,2,12,4
22,26,2014,2,12,5
49,102,2014,2,12,6
159,235,2014,2,12,7
328,537,2014,2,12,8
310,487,2014,2,12,9
434,724,2014,2,12,10
305,490,2014,2,12,11
370,620,2014,2,12,12
367,626,2014,2,12,13
386,649,2014,2,12,14
402,666,2014,2,12,15
579,947,2014,2,12,16
618,1016,2014,2,12,17
598,1040,2014,2,12,18
672,1131,2014,2,12,19
259,444,2014,2,12,20
311,532,2014,2,12,21
378,654,2014,2,12,22
236,391,2014,2,12,23
67,121,2014,2,13,0
61,108,2014,2,13,1
6,8,2014,2,13,2
6,21,2014,2,13,3
11,22,2014,2,13,4
27,44,2014,2,13,5
28,32,2014,2,13,6
37,64,2014,2,13,7
30,49,2014,2,13,8
51,81,2014,2,13,9
77,124,2014,2,13,10
59,110,2014,2,13,11
68,113,2014,2,13,12
75,117,2014,2,13,13
231,356,2014,2,13,14
241,416,2014,2,13,15
260,442,2014,2,13,16
305,520,2014,2,13,17
339,616,2014,2,13,18
467,756,2014,2,13,19
