,tail_number,airline,manufacturer,model,manufacturer_short,model_short,manufacturer_model,seats
1842,N748SW,SOUTHWEST AIRLINES CO,BOEING,737-7H4,BOEING,737,BOEING 737,150.0
1843,N748UW,WELLS FARGO BANK NORTHWEST NA TRUSTEE,AIRBUS INDUSTRIE,A319-112,AIRBUS,A319,AIRBUS A319,130.0
1844,N749SW,SOUTHWEST AIRLINES CO,BOEING,737-7H4,BOEING,737,BOEING 737,150.0
1845,N749US,WELLS FARGO BANK NORTHWEST NA TRUSTEE,AIRBUS INDUSTRIE,A319-112,AIRBUS,A319,AIRBUS A319,130.0
1846,N750AA,KLUGOW RICHARD DOUGLAS,RICHARD DOUGLAS KLUGOW,Z750,RICHARD,Z750,RICHARD Z750,
1847,N750EV,EXPRESSJET AIRLINES INC,BOMBARDIER INC,CL-600-2C10,BOMBARDIER,CL,BOMBARDIER CL,65.0
1848,N750SA,SOUTHWEST AIRLINES CO,BOEING,737-7H4,BOEING,737,BOEING 737,150.0
1849,N750UW,WELLS FARGO BANK NORTHWEST NA TRUSTEE,AIRBUS INDUSTRIE,A319-112,AIRBUS,A319,AIRBUS A319,130.0
1850,N751AA,NITAJET X LLC,CESSNA,750,CESSNA,750,CESSNA 750,
1851,N751EV,EXPRESSJET AIRLINES INC,BOMBARDIER INC,CL-600-2C10,BOMBARDIER,CL,BOMBARDIER CL,65.0
1852,N751SW,SOUTHWEST AIRLINES CO,BOEING,737-7H4,BOEING,737,BOEING 737,150.0
1853,N751UW,WELLS FARGO BANK NORTHWEST NA TRUSTEE,AIRBUS INDUSTRIE,A319-112,AIRBUS,A319,AIRBUS A319,130.0
1854,N752EV,EXPRESSJET AIRLINES INC,BOMBARDIER INC,CL-600-2C10,BOMBARDIER,CL,BOMBARDIER CL,65.0
1855,N752SW,SOUTHWEST AIRLINES CO,BOEING,737-7H4,BOEING,737,BOEING 737,150.0
1856,N752US,WELLS FARGO BANK NORTHWEST NA TRUSTEE,AIRBUS INDUSTRIE,A319-112,AIRBUS,A319,AIRBUS A319,130.0
1857,N753EV,EXPRESSJET AIRLINES INC,BOMBARDIER INC,CL-600-2C10,BOMBARDIER,CL,BOMBARDIER CL,65.0
1858,N753US,WELLS FARGO BANK NORTHWEST NA TRUSTEE,AIRBUS INDUSTRIE,A319-112,AIRBUS,A319,AIRBUS A319,130.0
1859,N75425,UNITED AIRLINES INC,BOEING,737-924ER,BOEING,737,BOEING 737,150.0
1860,N75426,UNITED AIRLINES INC,BOEING,737-924ER,BOEING,737,BOEING 737,150.0
1861,N75428,UNITED AIRLINES INC,BOEING,737-924ER,BOEING,737,BOEING 737,150.0
1862,N75429,UNITED AIRLINES INC,BOEING,737-924ER,BOEING,737,BOEING 737,150.0
1863,N75432,UNITED AIRLINES INC,BOEING,737-924ER,BOEING,737,BOEING 737,150.0
1864,N75433,UNITED AIRLINES INC,BOEING,737-924ER,BOEING,737,BOEING 737,150.0
1865,N75436,UNITED AIRLINES INC,BOEING,737-924ER,BOEING,737,BOEING 737,150.0
1866,N754EV,EXPRESSJET AIRLINES INC,BOMBARDIER INC,CL-600-2C10,BOMBARDIER,CL,BOMBARDIER CL,65.0
1867,N754SW,SOUTHWEST AIRLINES CO,BOEING,737-7H4,BOEING,737,BOEING 737,150.0
1868,N754UW,WELLS FARGO BANK NORTHWEST NA TRUSTEE,AIRBUS INDUSTRIE,A319-112,AIRBUS,A319,AIRBUS A319,130.0
1869,N755EV,EXPRESSJET AIRLINES INC,BOMBARDIER INC,CL-600-2C10,BOMBARDIER,CL,BOMBARDIER CL,65.0
1870,N755SA,SOUTHWEST AIRLINES CO,BOEING,737-7H4,BOEING,737,BOEING 737,150.0
